"","statistics","layersdepths","ID","lat","long","ph","om","clay","sand","silt","bd","hb","n","ksat","theta_r","theta_s","lambda","alpha"
"2066","mean","15_30",107850812,47.44786319,-122.19683435,5.56042098999023,0.894033645114572,6.01171875,59.55078125,29.021017074585,1.21693444252014,0.844102830653074,1.47929692268372,4.65540964433465,0.0311557296663523,0.5407794713974,0.410701155662537,1.18548024686932
"2067","mean","15_30",107852500,47.46689253,-122.16270397,6.01247787475586,1.21099603212509,5.38551902770996,76.3723220825195,15.9136581420898,1.39884543418884,1.10138969681003,1.45148921012878,31.7612490659446,0.0400467813014984,0.472133874893188,0.395350456237793,0.909716869516365
"2068","mean","15_30",107852831,47.46997741,-122.16699908,6.01723527908325,1.2176925102261,5.45112419128418,76.1897506713867,16.073657989502,1.39923977851868,1.10373011454804,1.45168459415436,31.3318031097357,0.0400194898247719,0.471985012292862,0.395244866609573,0.908666815002178
"2069","mean","15_30",107855446,47.47807418,-122.22395076,5.85709190368652,2.97921905809347,7.16796875,61.4589424133301,29.8835620880127,1.2333300113678,0.933983919135973,1.48493647575378,6.77711682191229,0.0288817211985588,0.53459244966507,0.409255892038345,1.0751466682144
"2070","mean","15_30",107855536,47.48317699,-122.22027208,5.74570274353027,3.69893017965746,10.8121328353882,53.3617324829102,30.7360973358154,1.1523609161377,1.32070969099554,1.40065908432007,4.84344905498034,0.044137254357338,0.565146803855896,0.355705887079239,0.758747676792156
"2071","mean","15_30",107855819,47.46573785,-122.23667923,5.9200291633606,3.34897756450647,25.0577297210693,14.0902442932129,59.0951194763184,1.22943353652954,3.67206745301436,1.24702727794647,1.72456121708381,0.0824657529592514,0.536062836647034,0.25190469622612,0.275596691846416
"2072","mean","15_30",107856302,47.46598863,-122.2367272,5.91035175323486,3.41629002426952,26.1013717651367,10.260232925415,62.0009765625,1.22535157203674,3.91226556081349,1.24641108512878,1.72266018971298,0.0838653594255447,0.537603199481964,0.25147956609726,0.2571146396522
"2073","mean","15_30",107857044,47.46567704,-122.23525252,5.9200291633606,3.34897756450647,25.0577297210693,14.0902442932129,59.0951194763184,1.22943353652954,3.67206745301436,1.24702727794647,1.72456121708381,0.0824657529592514,0.536062836647034,0.25190469622612,0.275596691846416
"2074","mean","15_30",107907007,47.5204396667,-122.009432763,5.95734596252441,2.78599570474894,6.86497020721436,60.4110412597656,31.267578125,1.19863271713257,0.933055756720371,1.49627327919006,5.67751692110239,0.0277226567268372,0.547685742378235,0.421930521726608,1.07137447264854
"2075","mean","15_30",107907495,47.5204180833,-122.0094909334,5.86605834960938,3.05877801339911,6.49608993530273,62.2565994262695,30.4043922424316,1.35240459442139,0.968795641777797,1.51010513305664,6.89808224785132,0.0265424400568008,0.48965859413147,0.425207316875458,1.024652820639
"2076","mean","15_30",107914257,47.6309583333,-122.28457,5.50988674163818,1.02437291200403,6.21917772293091,60.0278625488281,28.318359375,1.22935163974762,0.859410714216882,1.47394812107086,5.59205313718175,0.0335616432130337,0.536093711853027,0.409657895565033,1.17246952850494
"2077","mean","15_30",107914938,47.630845,-122.2840366667,5.42489910125732,1.28561620750748,6.40294170379639,60.9355926513672,27.0019454956055,1.29152488708496,0.895371646227023,1.46994638442993,7.5372296789542,0.037397850304842,0.512632131576538,0.41171407699585,1.12384362755618
"2078","mean","15_30",107915414,47.6306533333,-122.2841333333,5.5716404914856,0.953582938189351,6.232421875,59.6848220825195,28.787109375,1.19035089015961,0.839704808147892,1.47833585739136,4.63405459856988,0.0304191969335079,0.550810992717743,0.408684194087982,1.20518769121157
"2079","mean","15_30",107915838,47.6307866667,-122.284125,5.5716404914856,0.953582938189351,6.232421875,59.6848220825195,28.787109375,1.19035089015961,0.839704808147892,1.47833585739136,4.63405459856988,0.0304191969335079,0.550810992717743,0.408684194087982,1.20518769121157
"2080","mean","15_30",107917955,47.6106916667,-122.2975216667,5.46346855163574,1.14201171688253,6.3798828125,60.475513458252,27.7377681732178,1.26045942306519,0.884208753060396,1.47358393669128,6.47443581863424,0.0355514213442802,0.524354934692383,0.411286413669586,1.13703280195469
